key,name,iataCode,operationalScope,city,country,website,emailAddress,contactPhoneNumber
airport-10,Lorem ipsum dolor sit ame,AAJ,INTERNATIONAL,L,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-11,Lorem ipsum dolor sit ame,AAK,INTERNATIONAL,Lo,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-12,Lorem ipsum dolor sit ame,AAL,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-13,Lorem ipsum dolor sit ame,AAM,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-14,Lorem ipsum dolor sit ame,AAO,INTERNATIONAL,लोरम इप्सम,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-15,Lorem ipsum dolor sit ame,AAP,INTERNATIONAL,ローレム・イプサム,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-16,Lorem ipsum dolor sit ame,AAQ,INTERNATIONAL,"<b>Bold Text</b>",Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-17,Lorem ipsum dolor sit ame,AAR,INTERNATIONAL,"<img src='x' onerror='alert(""XSS"")'>",Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-18,Lorem ipsum dolor sit ame,AAS,INTERNATIONAL,' OR 1=1 --,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890

# country variations
airport-19,Lorem ipsum dolor sit ame,AAT,INTERNATIONAL,Lorem ipsum dolor sit ame,L,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-20,Lorem ipsum dolor sit ame,AAU,INTERNATIONAL,Lorem ipsum dolor sit ame,Lo,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-21,Lorem ipsum dolor sit ame,AAV,INTERNATIONAL,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-22,Lorem ipsum dolor sit ame,AAW,INTERNATIONAL,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-23,Lorem ipsum dolor sit ame,AAX,INTERNATIONAL,Lorem ipsum dolor sit ame,लोरम इप्सम,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-24,Lorem ipsum dolor sit ame,AAY,INTERNATIONAL,Lorem ipsum dolor sit ame,ローレム・イプサム,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-25,Lorem ipsum dolor sit ame,AAZ,INTERNATIONAL,Lorem ipsum dolor sit ame,"<b>Bold Text</b>",http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-26,Lorem ipsum dolor sit ame,ABA,INTERNATIONAL,Lorem ipsum dolor sit ame,"<img src='x' onerror='alert(""XSS"")'>",http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-27,Lorem ipsum dolor sit ame,ABB,INTERNATIONAL,Lorem ipsum dolor sit ame,' OR 1=1 --,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890

# website variations
airport-28,Lorem ipsum dolor sit ame,ABC,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-29,Lorem ipsum dolor sit ame,ABD,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://a.b,acme@lorem-ipsum.org,11234567890
airport-30,Lorem ipsum dolor sit ame,ABE,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incidunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",acme@lorem-ipsum.org,11234567890
airport-31,Lorem ipsum dolor sit ame,ABF,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incidunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",acme@lorem-ipsum.org,11234567890
airport-32,Lorem ipsum dolor sit ame,ABG,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org,acme@lorem-ipsum.org,11234567890
airport-33,Lorem ipsum dolor sit ame,ABH,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,https://www.lorem-ipsum.org,acme@lorem-ipsum.org,11234567890
airport-34,Lorem ipsum dolor sit ame,ABI,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org/dolor/sit.html,acme@lorem-ipsum.org,11234567890
airport-35,Lorem ipsum dolor sit ame,ABJ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org/dolor/sit.html#dolor,acme@lorem-ipsum.org,11234567890
airport-36,Lorem ipsum dolor sit ame,ABK,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?a=1&b=2,acme@lorem-ipsum.org,11234567890
airport-37,Lorem ipsum dolor sit ame,ABL,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?,acme@lorem-ipsum.org,11234567890
airport-38,Lorem ipsum dolor sit ame,ABM,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?a,acme@lorem-ipsum.org,11234567890
airport-39,Lorem ipsum dolor sit ame,ABN,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?a&b,acme@lorem-ipsum.org,11234567890
airport-40,Lorem ipsum dolor sit ame,ABO,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/,acme@lorem-ipsum.org,11234567890
airport-41,Lorem ipsum dolor sit ame,ABP,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a,acme@lorem-ipsum.org,11234567890
airport-42,Lorem ipsum dolor sit ame,ABQ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b,acme@lorem-ipsum.org,11234567890
airport-43,Lorem ipsum dolor sit ame,ABR,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b?,acme@lorem-ipsum.org,11234567890
airport-44,Lorem ipsum dolor sit ame,ABS,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b?a&b,acme@lorem-ipsum.org,11234567890

# emailAddress variations
airport-45,Lorem ipsum dolor sit ame,ABT,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,11234567890
airport-46,Lorem ipsum dolor sit ame,ABU,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,a@b.e,11234567890
airport-47,Lorem ipsum dolor sit ame,ABV,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,a@b.es,11234567890
airport-48,Lorem ipsum dolor sit ame,ABW,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,a@b.esx,11234567890
airport-49,Lorem ipsum dolor sit ame,ABX,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo/consequat/duis/aute.irure.doloris.edu,11234567890
airport-50,Lorem ipsum dolor sit ame,ABY,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo/consequat/дуис_aute_irure_doloris.es.org,11234567890
